date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:27	10097/10097	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Jan%202024%2000:36:29%20GMT	https://chaingeprotocol.com/dapps	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/dapps.html	(from )
01:36:27	574/574	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Jan%202024%2000:36:31%20GMT	https://chaingeprotocol.com/robots.txt		(from )
01:36:29	195841/195841	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/bootstrap.css	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/bootstrap.css	(from https://chaingeprotocol.com/dapps)
01:36:29	2051/2051	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/custom.css	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/custom.css	(from https://chaingeprotocol.com/dapps)
01:36:30	137816/137816	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/all.css	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/all.css	(from https://chaingeprotocol.com/dapps)
01:36:31	2691/2691	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/IMG_0425.PNG	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/IMG_0425.png	(from https://chaingeprotocol.com/dapps)
01:36:31	2447/2447	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/IMG_0434.PNG	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/IMG_0434.png	(from https://chaingeprotocol.com/dapps)
01:36:31	4251/4251	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/IMG_0427.PNG	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/IMG_0427.png	(from https://chaingeprotocol.com/dapps)
01:36:31	175131/175131	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/coinmarketcap.png	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/coinmarketcap.png	(from https://chaingeprotocol.com/dapps)
01:36:32	2473/2473	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/IMG_0430.PNG	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/IMG_0430.png	(from https://chaingeprotocol.com/dapps)
01:36:32	1387/1387	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/IMG_0432.PNG	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/IMG_0432.png	(from https://chaingeprotocol.com/dapps)
01:36:33	2780/2780	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/IMG_0431.PNG	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/IMG_0431.png	(from https://chaingeprotocol.com/dapps)
01:36:33	9737/9737	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/toplogo.jpeg	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/toplogo.jpg	(from https://chaingeprotocol.com/dapps)
01:36:40	35894/35894	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Jan%202024%2000:36:37%20GMT	https://chaingeprotocol.com/connect	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/connect.html	(from https://chaingeprotocol.com/dapps)
01:36:41	2620/2620	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/money.png	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/money.png	(from https://chaingeprotocol.com/dapps)
01:36:42	1987/1987	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/stake.png	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/stake.png	(from https://chaingeprotocol.com/dapps)
01:36:42	2252/2252	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/holding-wrench.png	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/holding-wrench.png	(from https://chaingeprotocol.com/dapps)
01:36:42	3776/3776	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/data-recovery.png	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/data-recovery.png	(from https://chaingeprotocol.com/dapps)
01:36:43	42461/42461	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/fixgas.PNG	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/fixgas.png	(from https://chaingeprotocol.com/dapps)
01:36:44	4802/4802	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/nft.png	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/nft.png	(from https://chaingeprotocol.com/dapps)
01:36:45	3642/3642	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/exchange.png	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/exchange.png	(from https://chaingeprotocol.com/dapps)
01:36:46	28458/28458	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/Delay.PNG	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/Delay.png	(from https://chaingeprotocol.com/dapps)
01:36:46	28248/28248	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2018:43:28%20GMT	https://chaingeprotocol.com/assets/ser_icon_1.png	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/assets/ser_icon_1.png	(from https://chaingeprotocol.com/dapps)
01:36:47	37068/37068	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Jan%202024%2000:36:50%20GMT	https://chaingeprotocol.com/	C:/My%20Web%20Sites/https___chaingeprotocol.com_dapps/chaingeprotocol.com/index.html	(from https://chaingeprotocol.com/assets/bootstrap.css)
